,Date,State,Total_cases,Total_death,Total_recovered,Death_percent,Recovery_percent
229,2020-04,SD,1213.6,7.07,1206.53,0.58,99.42
230,2020-04,TN,7085.4,140.73,6944.67,1.99,98.01
231,2020-04,TX,15841.33,541.17,15300.17,3.42,96.58
232,2020-04,UT,2788.83,24.73,2764.1,0.89,99.11
233,2020-04,VA,7873.0,249.7,7623.3,3.17,96.83
234,2020-04,VI,50.83,1.93,48.9,3.8,96.2
235,2020-04,VT,653.67,33.5,620.17,5.12,94.88
236,2020-04,WA,10573.8,557.37,10016.43,5.27,94.73
237,2020-04,WI,3958.23,177.43,3780.8,4.48,95.52
238,2020-04,WV,707.1,17.03,690.07,2.41,97.59
239,2020-04,WY,361.4,2.73,358.67,0.76,99.24
240,2020-05,AK,395.74,10.68,385.06,2.7,97.3
241,2020-05,AL,14764.26,636.9,14127.35,4.31,95.69
242,2020-05,AR,4846.23,101.26,4744.97,2.09,97.91
243,2020-05,AS,0.0,0.0,0.0,0.0,0.0
244,2020-05,AZ,13455.13,640.61,12814.52,4.76,95.24
245,2020-05,CA,95953.55,3688.61,92264.94,3.84,96.16
246,2020-05,CO,21771.65,1148.26,20623.39,5.27,94.73
247,2020-05,CT,36265.1,3260.42,33004.68,8.99,91.01
248,2020-05,DC,6938.9,364.39,6574.52,5.25,94.75
249,2020-05,DE,7804.06,274.68,7529.39,3.52,96.48
250,2020-05,FL,44212.0,2128.0,42084.0,4.81,95.19
251,2020-05,FSM,0.0,0.0,0.0,0.0,0.0
252,2020-05,GA,35399.71,1591.35,33808.35,4.5,95.5
253,2020-05,GU,158.23,5.0,153.23,3.16,96.84
254,2020-05,HI,627.77,16.94,610.84,2.7,97.3
255,2020-05,IA,14198.61,345.9,13852.71,2.44,97.56
256,2020-05,ID,2420.26,73.06,2347.19,3.02,96.98
257,2020-05,IL,90881.55,4007.45,86874.1,4.41,95.59
258,2020-05,IN,27040.81,1873.61,25167.19,6.93,93.07
259,2020-05,KS,7637.65,169.42,7468.23,2.22,97.78
260,2020-05,KY,7973.84,403.13,7570.71,5.06,94.94
261,2020-05,LA,34218.61,2441.32,31777.29,7.13,92.87
262,2020-05,MA,83309.52,6020.84,77288.68,7.23,92.77
263,2020-05,MD,38994.32,2042.81,36951.52,5.24,94.76
264,2020-05,ME,1709.84,71.0,1638.84,4.15,95.85
265,2020-05,MI,78805.45,5382.87,73422.58,6.83,93.17
266,2020-05,MN,15463.74,715.26,14748.48,4.63,95.37
267,2020-05,MO,11360.94,723.1,10637.84,6.36,93.64
268,2020-05,MP,18.74,2.0,16.74,10.67,89.33
269,2020-05,MS,12885.87,820.39,12065.48,6.37,93.63
270,2020-05,MT,471.61,16.19,455.42,3.43,96.57
271,2020-05,NC,20135.13,701.55,19433.58,3.48,96.52
272,2020-05,ND,1863.61,42.42,1821.19,2.28,97.72
273,2020-05,NE,9838.84,121.26,9717.58,1.23,98.77
274,2020-05,NH,3516.29,164.03,3352.26,4.66,95.34
275,2020-05,NJ,144361.52,9965.65,134395.87,6.9,93.1
276,2020-05,NM,5741.13,303.81,5437.32,5.29,94.71
277,2020-05,NV,6808.1,350.74,6457.35,5.15,94.85
278,2020-05,NY,155427.65,7156.68,148270.97,4.6,95.4
279,2020-05,NYC,193982.29,20926.55,173055.74,10.79,89.21
280,2020-05,OH,27331.68,1603.52,25728.16,5.87,94.13
281,2020-05,OK,5986.48,312.94,5673.55,5.23,94.77
282,2020-05,OR,3499.26,134.23,3365.03,3.84,96.16
283,2020-05,PA,64236.55,4205.58,60030.97,6.55,93.45
284,2020-05,PR,1316.97,127.84,1189.13,9.71,90.29
285,2020-05,PW,0.0,0.0,0.0,0.0,0.0
286,2020-05,RI,12348.23,618.19,11730.03,5.01,94.99
287,2020-05,RMI,0.0,0.0,0.0,0.0,0.0
288,2020-05,SC,8758.87,389.71,8369.16,4.45,95.55
289,2020-05,SD,3838.45,41.26,3797.19,1.07,98.93
290,2020-05,TN,18464.19,328.35,18135.84,1.78,98.22
291,2020-05,TX,46150.42,1501.68,44648.74,3.25,96.75
292,2020-05,UT,7226.87,81.26,7145.61,1.12,98.88
293,2020-05,VA,30591.0,1009.84,29581.16,3.3,96.7
294,2020-05,VI,68.35,5.32,63.03,7.78,92.22
295,2020-05,VT,857.29,52.55,804.74,6.13,93.87
296,2020-05,WA,18230.87,985.32,17245.55,5.4,94.6
297,2020-05,WI,12383.42,449.0,11934.42,3.63,96.37
298,2020-05,WV,1529.84,62.94,1466.9,4.11,95.89
299,2020-05,WY,735.65,9.71,725.94,1.32,98.68
300,2020-06,AK,684.07,15.47,668.6,2.26,97.74
301,2020-06,AL,31885.47,1105.73,30779.73,3.47,96.53
302,2020-06,AR,13405.13,196.57,13208.57,1.47,98.53
303,2020-06,AS,0.0,0.0,0.0,0.0,0.0
304,2020-06,AZ,43020.07,1243.27,41776.8,2.89,97.11
305,2020-06,CA,197844.93,5900.7,191944.23,2.98,97.02
306,2020-06,CO,29954.7,1601.17,28353.53,5.35,94.65
307,2020-06,CT,44955.23,4179.93,40775.3,9.3,90.7
308,2020-06,DC,9727.6,514.57,9213.03,5.29,94.71
309,2020-06,DE,10658.83,439.9,10218.93,4.13,95.87
310,2020-06,FL,88905.5,3219.27,85686.23,3.62,96.38
311,2020-06,FSM,0.0,0.0,0.0,0.0,0.0
312,2020-06,GA,60279.23,2476.23,57803.0,4.11,95.89
313,2020-06,GU,205.1,5.0,200.1,2.44,97.56
314,2020-06,HI,751.63,17.1,734.53,2.28,97.72
315,2020-06,IA,24274.27,651.1,23623.17,2.68,97.32
316,2020-06,ID,3882.5,87.13,3795.37,2.24,97.76
317,2020-06,IL,133793.8,6477.9,127315.9,4.84,95.16
318,2020-06,IN,40361.63,2575.07,37786.57,6.38,93.62
319,2020-06,KS,11678.43,245.77,11432.67,2.1,97.9
320,2020-06,KY,13721.63,601.77,13119.87,4.39,95.61
321,2020-06,LA,47761.87,3035.83,44726.03,6.36,93.64
322,2020-06,MA,101111.93,7763.4,93348.53,7.68,92.32
323,2020-06,MD,62102.5,3065.7,59036.8,4.94,95.06
324,2020-06,ME,2814.93,100.63,2714.3,3.57,96.43
325,2020-06,MI,110501.07,6161.3,104339.77,5.58,94.42
326,2020-06,MN,31027.2,1323.03,29704.17,4.26,95.74
327,2020-06,MO,18688.67,1006.83,17681.83,5.39,94.61
328,2020-06,MP,28.47,2.0,26.47,7.02,92.98
329,2020-06,MS,24122.53,1198.4,22924.13,4.97,95.03
330,2020-06,MT,672.8,19.43,653.37,2.89,97.11
331,2020-06,NC,49924.0,1234.2,48689.8,2.47,97.53
332,2020-06,ND,3105.33,74.27,3031.07,2.39,97.61
333,2020-06,NE,16865.17,225.0,16640.17,1.33,98.67
334,2020-06,NH,5321.87,318.57,5003.3,5.99,94.01
335,2020-06,NJ,167646.6,12960.7,154685.9,7.73,92.27
336,2020-06,NM,9943.77,483.33,9460.43,4.86,95.14
337,2020-06,NV,12237.7,480.37,11757.33,3.93,96.07
338,2020-06,NY,173673.43,8488.7,165184.73,4.89,95.11
339,2020-06,NYC,212976.7,22645.33,190331.37,10.63,89.37
340,2020-06,OH,42668.53,2570.63,40097.9,6.02,93.98
341,2020-06,OK,12096.23,401.2,11695.03,3.32,96.68
342,2020-06,OR,6127.63,180.17,5947.47,2.94,97.06
343,2020-06,PA,83648.03,6260.57,77387.47,7.48,92.52
344,2020-06,PR,1672.03,152.83,1519.2,9.14,90.86
345,2020-06,PW,0.0,0.0,0.0,0.0,0.0
346,2020-06,RI,15963.63,913.17,15050.47,5.72,94.28
347,2020-06,RMI,0.0,0.0,0.0,0.0,0.0
348,2020-06,SC,21233.57,639.3,20594.27,3.01,96.99
349,2020-06,SD,5932.0,76.07,5855.93,1.28,98.72
350,2020-06,TN,35204.6,526.5,34678.1,1.5,98.5
351,2020-06,TX,99949.23,2449.17,97500.07,2.45,97.55
352,2020-06,UT,15634.8,144.33,15490.47,0.92,99.08
353,2020-06,VA,55390.13,1580.9,53809.23,2.85,97.15
354,2020-06,VI,74.73,6.0,68.73,8.03,91.97
355,2020-06,VT,1026.43,54.47,971.97,5.31,94.69
356,2020-06,WA,26768.87,1225.83,25543.03,4.58,95.42
357,2020-06,WI,25063.43,705.67,24357.77,2.82,97.18
358,2020-06,WV,2393.3,87.1,2306.2,3.64,96.36
359,2020-06,WY,1123.8,18.5,1105.3,1.65,98.35
360,2020-07,AK,1798.03,25.06,1772.97,1.39,98.61
361,2020-07,AL,74832.55,1769.52,73063.03,2.36,97.64
362,2020-07,AR,31368.9,349.32,31019.58,1.11,98.89
363,2020-07,AS,0.0,0.0,0.0,0.0,0.0
364,2020-07,AZ,132392.0,2568.61,129823.39,1.94,98.06
365,2020-07,CA,445996.81,8749.71,437247.1,1.96,98.04
366,2020-07,CO,39846.94,1749.19,38097.74,4.39,95.61
367,2020-07,CT,47860.48,4379.42,43481.06,9.15,90.85
368,2020-07,DC,11143.1,571.97,10571.13,5.13,94.87
369,2020-07,DE,13705.94,534.74,13171.19,3.9,96.1
370,2020-07,FL,318858.58,6085.52,312773.06,1.91,98.09
371,2020-07,FSM,0.0,0.0,0.0,0.0,0.0
372,2020-07,GA,134586.45,3170.48,131415.97,2.36,97.64
373,2020-07,GU,320.29,5.0,315.29,1.56,98.44
374,2020-07,HI,1371.03,22.32,1348.71,1.63,98.37
375,2020-07,IA,36989.16,778.23,36210.94,2.1,97.9
376,2020-07,ID,13193.03,121.52,13071.52,0.92,99.08
377,2020-07,IL,160345.74,7434.81,152910.94,4.64,95.36
378,2020-07,IN,54924.77,2938.0,51986.77,5.35,94.65
379,2020-07,KS,21115.61,301.81,20813.81,1.43,98.57
380,2020-07,KY,25117.52,790.42,24327.1,3.15,96.85
381,2020-07,LA,86875.68,3525.94,83349.74,4.06,95.94
382,2020-07,MA,106466.81,8403.16,98063.65,7.89,92.11
383,2020-07,MD,77290.48,3473.77,73816.71,4.49,95.51
384,2020-07,ME,3629.13,114.81,3514.32,3.16,96.84
385,2020-07,MI,146231.19,6428.81,139802.39,4.4,95.6
386,2020-07,MN,45239.03,1567.48,43671.55,3.46,96.54
387,2020-07,MO,40426.06,1231.16,39194.9,3.05,96.95
388,2020-07,MP,35.1,2.0,33.1,5.7,94.3
389,2020-07,MS,48504.94,1837.87,46667.06,3.79,96.21
390,2020-07,MT,2330.23,36.29,2293.94,1.56,98.44
391,2020-07,NC,101354.71,1744.84,99609.87,1.72,98.28
